LFHD_X, 51.6099 226.7977 -112.6432;   
LFHD_Y, 307.6243 478.8979 199.1802;   
LFHD_Z, 1844.6542 1913.1449 1712.2534;
RFHD_X, 180.9037 357.7854 15.5834;    
RFH_Y, 303.1367 473.7319 211.6526;    
RFHD_Z, 1857.0413 1918.6842 1727.9186;
LBHD_X, 74.9505 239.6403 -96.7753;    
LBHD_Y, 115.4048 294.5802 28.4032;    
LBHD_Z, 1842.4136 1863.9299 1781.7963;
RBHD_X, 206.1723 371.6815 35.849;     
RBHD_Y, 148.4218 323.6412 56.8786;    
RBHD_Z, 1851.1883 1875.8303 1780.7285;
C7_X, 144.9687 296.7191 -20.0384;     
C7_Y, 94.0864 216.4851 42.9682;       
C7_Z, 1692.2296 1715.5944 1657.8534;  
T10_X, 149.6233 319.5913 -20.9267;    
T10_Y, -16.1858 85.8097 -92.0821;     
T10_Z, 1393.3694 1424.5685 1339.3909; 
CLAV_X, 142.5052 301.4779 -3.2049;    
CLAV_Y, 212.0212 298.5879 161.9364;   
CLAV_Z, 1590.4715 1618.0502 1522.8784;
STRN_X, 149.4244 297.4195 16.591;     
STRN_Y, 228.2382 300.7574 0;          
STRN_Z, 1389.6387 1420.0471 1331.9127;
RBAK_X, 263.7705 424.0588 86.3715;    
RBAK_Y, 35.7422 132.9475 -34.3485;    
RBAK_Z, 1609.359 1636.15 1588.4078;   
LSHO_X, -13.7185 139.9545 -172.4081;  
LSHO_Y, 99.8703 212.7912 -3.3655;     
LSHO_Z, 1649.1047 1674.3438 1615.3494;
LUPA_X, -110.7203 30.3295 -263.4878;  
LUPA_Y, 150.0093 294.6775 -36.1757;   
LUPA_Z, 1416.8159 1490.0454 1370.4327;
LELB_X, -129.2846 11.2272 -287.4007;  
LELB_Y, 187.5079 373.2974 -49.6943;   
LELB_Z, 1277.3794 1382.2096 1224.7389;
LFRA_X, -69.7685 84.3332 -229.1509;   
LFRA_Y, 279.6702 419.6606 80.4311;    
LFRA_Z, 1376.7761 1501.0966 1293.65;  
LWRA_X, 45.98 204.994 -165.1754;      
LWRA_Y, 307.6022 411.2267 0;          
LWRA_Z, 1470.4904 1575.0813 1364.021; 
LWRB_X, -23.2608 150.4169 -228.9077;  
LWRB_Y, 402.3383 526.1052 218.5641;   
