 1,  0.26857   -0.043025    -0.33772    0.010489   -0.060493   -0.099559     -0.1285    0.054898    -0.13991    -0.04882     -0.1249    0.072039    -0.42032    0.025314    -0.25818    0.027139     0.27567     0.28228      0.2085     -0.5141    -0.16691;
 2, -0.19968    -0.26014    -0.24435    -0.20467     0.23383     0.14802    0.037802     0.14263   0.0045165      0.0062   -0.040938    -0.08494    0.086375   -0.082482   -0.077472    0.078525    0.082232    -0.65256     0.19353     -0.1121    -0.41774;
 3,  0.28802     0.04938    -0.01144   0.0074381    0.073307    -0.35419     0.44109    0.075754     0.41981    -0.37088     0.15063     -0.2916   -0.043481     0.35368   -0.009956    -0.12019    0.033329   -0.092326    0.080465    0.025888   -0.058959;
 4,  0.29695    0.041955    -0.20383     0.12758  -0.0067827    0.094907    0.019404     0.15075   -0.053623    0.007737    -0.19503    0.063207    0.082807   -0.097753    -0.33014     0.12392    0.042875    0.012099      0.4693     0.62716     0.13711;
 5, -0.18665    -0.24453    -0.24718    -0.16905     0.32447     0.30603     0.13801     0.24973     -0.1494    0.030039    -0.02044    -0.15061   0.0062016     0.43199    0.095748   0.0091502    -0.15301     0.48593   -0.083519     0.14314   -0.078171;
 6,  0.18285    -0.25999     0.12314   0.0018109     0.52745     0.14493    -0.17402    -0.27434    0.076531    -0.49388      0.1405    -0.03426     0.06728    -0.37582    -0.10077     0.11606   -0.035407     0.15983   -0.042274   -0.046889    0.090443;
 7,    0.267   -0.014797    -0.34159    0.077754    -0.07676   -0.048998    -0.13592    0.093757    -0.13719    -0.15115    -0.14641   -0.079072    -0.10411    0.035752   -0.049766     0.19274    0.021431    -0.24066     -0.7426     0.19594    0.029804;
 8, -0.13931     0.28732    -0.31703    -0.27941     0.17316    -0.03762    0.033123    -0.11101     0.11683    0.085375   -0.019887   -0.043873     0.10776     0.11564   -0.086955     0.35796   -0.063145    -0.11749     0.07688    -0.26081     0.63165;
 9,  0.29639     -0.1407    0.017467   -0.044528      0.1631    -0.11685     0.16236   -0.011255   -0.030096     0.17923      0.1635     0.43868    -0.25436    0.019945     0.55404     0.41888   -0.018237   -0.068882    0.097744    0.086328    -0.03902;
10,  0.29972    0.033689    -0.19429   -0.041319    -0.13348    0.030885   -0.064423     0.17999    -0.11571     -0.2222    -0.34295   -0.060271     0.38005    -0.14811     0.48376    -0.22133    -0.31111   0.0025094      0.1584    -0.23741    0.051246;
11, -0.14493     0.28779    -0.33451    -0.17034     0.23534    -0.15523    0.015838    -0.15722     0.15582      0.1496   -0.086718    -0.19997    -0.21705     -0.4054     0.30555     -0.2932     0.26351     0.14408   -0.040169     0.25661   -0.090543;
12,  0.28953   -0.059409    -0.14403    -0.15902      0.2379   -0.051661     0.17771    -0.11737   -0.019032     0.30412     0.11625     0.45055     0.21059    0.028947    -0.28291    -0.51865    -0.12631   -0.055535    -0.18615   -0.057912    0.036917;
13,  0.19788     0.25711     0.21556    0.039422     0.30055     0.18983    -0.33634    -0.34403    -0.15579    0.026631    -0.25373    -0.10002    -0.16041     0.48848     0.12089     -0.1767    0.074422    -0.23955     0.11407    0.052045   -0.026104;
14, -0.18024      0.2199     0.30273    -0.10921     0.26685    -0.30923      0.3678     0.18467    -0.50446    -0.22301    -0.34403     0.12553   -0.093325    -0.11656    -0.11963    0.028424   -0.018023   -0.024369   -0.050474   -0.011278   0.0066187;
15,-0.091382     0.11067    -0.21707     0.52389   -0.042755      0.4097     0.54684     -0.3771    -0.04936   -0.067129    -0.10323    0.062809   -0.014215   -0.046906    0.046933    0.031515    0.013082   -0.033476    -0.03297    -0.12553   -0.040335;
16, 0.064386     0.43689   -0.011356   -0.085306    0.054391   -0.071976   -0.075931    -0.14315     0.21207    0.057848    -0.10709    0.097749     0.28851    0.023425    -0.14836     0.36733     -0.2611     0.21514   -0.072794   -0.014311    -0.57719;
17, -0.15888    -0.37966    0.088191   -0.026779   -0.022249   -0.092783   0.0035983     -0.1114     0.49019    0.010177    -0.69089     0.24036   -0.075075    0.069491   -0.016855   0.0070959    0.018434    0.050141   -0.071087    0.022585    0.076669;
18, -0.04205     0.14738    0.036708     0.60059     0.43029   -0.061152    -0.16562     0.51008     0.22646     0.21597  -0.0097385    0.026041    0.039483   -0.043032    0.023416   -0.021889   0.0096172   -0.027475    -0.05086    -0.16445    0.065844;
19, -0.17448     0.33299   -0.064654    -0.15868   -0.087676     0.34492    -0.10971     0.26449     0.22073    -0.46665     0.12139     0.50726    -0.20805    0.059005    0.037469    -0.15868    0.027815   -0.058327   -0.014526    0.066007   0.0062483;
20, -0.25973   -0.086815    -0.23555     0.20502    0.025445    -0.36604    -0.17626    -0.16704    -0.17258    -0.23335    0.092216       0.266     0.45123      0.2485     0.12545   0.0026191     0.41704    0.064777    0.056086    0.082412   -0.035122;
21,  0.25753    0.083468     0.25743    -0.21708   -0.013395     0.32229     0.17927     0.18114    0.073963     0.10673   -0.095408   -0.041085     0.32795   -0.032029    0.058314     0.10668      0.6733    0.087097    -0.14961   -0.097532    0.022286;
